Feature,Importance
CPI,0.3250698620352469
Population,0.29908239801259723
GDP,0.19778085317876712
MedianIncome,0.14893411186815717
UnemploymentRate,0.026394784365475356
TreasuryYield,0.0019388826314953522
MortgageRate,0.0004108931503428099
HousingStarts,0.00038821475791806187
